From;Till;Month;Precipitation;Quality;;Tidsutsnitt:;;;;
1792-04-01 07:00:01;1792-05-01 07:00:00;1792-04;26.0;G;;;;;;
1792-05-02 07:00:01;1792-06-01 07:00:00;1792-05;28.0;G;;;;;;
1792-06-01 07:00:01;1792-07-01 07:00:00;1792-06;75.0;G;;;;;;
1792-07-02 07:00:01;1792-08-01 07:00:00;1792-07;79.0;G;;;;;;
1792-08-02 07:00:01;1792-09-01 07:00:00;1792-08;103.0;G;;;;;;
1792-09-01 07:00:01;1792-10-01 07:00:00;1792-09;157.0;G;;;;;;
1792-10-02 07:00:01;1792-11-01 07:00:00;1792-10;66.0;G;;;;;;
1792-11-01 07:00:01;1792-12-01 07:00:00;1792-11;97.0;G;;;;;;
1792-12-02 07:00:01;1793-01-01 07:00:00;1792-12;57.0;G;;;;;;
1793-01-02 07:00:01;1793-02-01 07:00:00;1793-01;9.0;G;;;;;;
1793-01-30 07:00:01;1793-03-01 07:00:00;1793-02;51.0;G;;;;;;
1793-03-02 07:00:01;1793-04-01 07:00:00;1793-03;22.0;G;;;;;;
1793-04-01 07:00:01;1793-05-01 07:00:00;1793-04;51.0;G;;;;;;
1793-05-02 07:00:01;1793-06-01 07:00:00;1793-05;41.0;G;;;;;;
1793-06-01 07:00:01;1793-07-01 07:00:00;1793-06;63.0;G;;;;;;
1793-07-02 07:00:01;1793-08-01 07:00:00;1793-07;57.0;G;;;;;;
1793-08-02 07:00:01;1793-09-01 07:00:00;1793-08;60.0;G;;;;;;
1793-09-01 07:00:01;1793-10-01 07:00:00;1793-09;48.0;G;;;;;;
1793-10-02 07:00:01;1793-11-01 07:00:00;1793-10;79.0;G;;;;;;
1793-11-01 07:00:01;1793-12-01 07:00:00;1793-11;102.0;G;;;;;;
1793-12-02 07:00:01;1794-01-01 07:00:00;1793-12;18.0;G;;;;;;
1794-01-02 07:00:01;1794-02-01 07:00:00;1794-01;32.0;G;;;;;;
1794-01-30 07:00:01;1794-03-01 07:00:00;1794-02;45.0;G;;;;;;
1794-03-02 07:00:01;1794-04-01 07:00:00;1794-03;5.0;G;;;;;;
1794-04-01 07:00:01;1794-05-01 07:00:00;1794-04;42.0;G;;;;;;
1794-05-02 07:00:01;1794-06-01 07:00:00;1794-05;180.0;G;;;;;;
1794-06-01 07:00:01;1794-07-01 07:00:00;1794-06;24.0;G;;;;;;
1794-07-02 07:00:01;1794-08-01 07:00:00;1794-07;115.0;G;;;;;;
1794-08-02 07:00:01;1794-09-01 07:00:00;1794-08;119.0;G;;;;;;
1794-09-01 07:00:01;1794-10-01 07:00:00;1794-09;79.0;G;;;;;;
1794-10-02 07:00:01;1794-11-01 07:00:00;1794-10;88.0;G;;;;;;
1794-11-01 07:00:01;1794-12-01 07:00:00;1794-11;78.0;G;;;;;;
1794-12-02 07:00:01;1795-01-01 07:00:00;1794-12;21.0;G;;;;;;
1795-01-02 07:00:01;1795-02-01 07:00:00;1795-01;8.0;G;;;;;;
1795-01-30 07:00:01;1795-03-01 07:00:00;1795-02;29.0;G;;;;;;
1795-03-02 07:00:01;1795-04-01 07:00:00;1795-03;6.0;G;;;;;;
1795-04-01 07:00:01;1795-05-01 07:00:00;1795-04;9.0;G;;;;;;
1795-05-02 07:00:01;1795-06-01 07:00:00;1795-05;80.0;G;;;;;;
1795-06-01 07:00:01;1795-07-01 07:00:00;1795-06;33.0;G;;;;;;
1795-07-02 07:00:01;1795-08-01 07:00:00;1795-07;147.0;G;;;;;;
1795-08-02 07:00:01;1795-09-01 07:00:00;1795-08;113.0;G;;;;;;
1795-09-01 07:00:01;1795-10-01 07:00:00;1795-09;15.0;G;;;;;;
1795-10-02 07:00:01;1795-11-01 07:00:00;1795-10;69.0;G;;;;;;
1795-11-01 07:00:01;1795-12-01 07:00:00;1795-11;99.0;G;;;;;;
1795-12-02 07:00:01;1796-01-01 07:00:00;1795-12;68.0;G;;;;;;
1796-01-02 07:00:01;1796-02-01 07:00:00;1796-01;60.0;G;;;;;;
1796-01-31 07:00:01;1796-03-01 07:00:00;1796-02;22.0;G;;;;;;
1796-03-02 07:00:01;1796-04-01 07:00:00;1796-03;13.0;G;;;;;;
1796-04-01 07:00:01;1796-05-01 07:00:00;1796-04;12.0;G;;;;;;
1796-05-02 07:00:01;1796-06-01 07:00:00;1796-05;90.0;G;;;;;;
1796-06-01 07:00:01;1796-07-01 07:00:00;1796-06;89.0;G;;;;;;
1796-07-02 07:00:01;1796-08-01 07:00:00;1796-07;123.0;G;;;;;;
1796-08-02 07:00:01;1796-09-01 07:00:00;1796-08;22.0;G;;;;;;
1796-09-01 07:00:01;1796-10-01 07:00:00;1796-09;58.0;G;;;;;;
1796-10-02 07:00:01;1796-11-01 07:00:00;1796-10;42.0;G;;;;;;
1796-11-01 07:00:01;1796-12-01 07:00:00;1796-11;51.0;G;;;;;;
1796-12-02 07:00:01;1797-01-01 07:00:00;1796-12;16.0;G;;;;;;
1797-01-02 07:00:01;1797-02-01 07:00:00;1797-01;25.0;G;;;;;;
1797-01-30 07:00:01;1797-03-01 07:00:00;1797-02;4.0;G;;;;;;
1797-03-02 07:00:01;1797-04-01 07:00:00;1797-03;6.0;G;;;;;;
1797-04-01 07:00:01;1797-05-01 07:00:00;1797-04;2.0;G;;;;;;
1797-05-02 07:00:01;1797-06-01 07:00:00;1797-05;62.0;G;;;;;;
1797-06-01 07:00:01;1797-07-01 07:00:00;1797-06;64.0;G;;;;;;
1797-07-02 07:00:01;1797-08-01 07:00:00;1797-07;54.0;G;;;;;;
1797-08-02 07:00:01;1797-09-01 07:00:00;1797-08;145.0;G;;;;;;
1797-09-01 07:00:01;1797-10-01 07:00:00;1797-09;83.0;G;;;;;;
1797-10-02 07:00:01;1797-11-01 07:00:00;1797-10;46.0;G;;;;;;
1797-11-01 07:00:01;1797-12-01 07:00:00;1797-11;39.0;G;;;;;;
1797-12-02 07:00:01;1798-01-01 07:00:00;1797-12;97.0;G;;;;;;
1798-01-02 07:00:01;1798-02-01 07:00:00;1798-01;22.0;G;;;;;;
1798-01-30 07:00:01;1798-03-01 07:00:00;1798-02;11.0;G;;;;;;
1798-03-02 07:00:01;1798-04-01 07:00:00;1798-03;7.0;G;;;;;;
1798-04-01 07:00:01;1798-05-01 07:00:00;1798-04;22.0;G;;;;;;
1798-05-02 07:00:01;1798-06-01 07:00:00;1798-05;3.0;G;;;;;;
1798-06-01 07:00:01;1798-07-01 07:00:00;1798-06;5.0;G;;;;;;
1798-07-02 07:00:01;1798-08-01 07:00:00;1798-07;116.0;G;;;;;;
1798-08-02 07:00:01;1798-09-01 07:00:00;1798-08;96.0;G;;;;;;
1798-09-01 07:00:01;1798-10-01 07:00:00;1798-09;56.0;G;;;;;;
1798-10-02 07:00:01;1798-11-01 07:00:00;1798-10;28.0;G;;;;;;
1798-11-01 07:00:01;1798-12-01 07:00:00;1798-11;20.0;G;;;;;;
1798-12-02 07:00:01;1799-01-01 07:00:00;1798-12;7.0;G;;;;;;
1799-01-02 07:00:01;1799-02-01 07:00:00;1799-01;4.0;G;;;;;;
1799-01-30 07:00:01;1799-03-01 07:00:00;1799-02;22.0;G;;;;;;
1799-03-02 07:00:01;1799-04-01 07:00:00;1799-03;1.0;G;;;;;;
1799-04-01 07:00:01;1799-05-01 07:00:00;1799-04;61.0;G;;;;;;
1799-05-02 07:00:01;1799-06-01 07:00:00;1799-05;48.0;G;;;;;;
1799-06-01 07:00:01;1799-07-01 07:00:00;1799-06;35.0;G;;;;;;
1799-07-02 07:00:01;1799-08-01 07:00:00;1799-07;90.0;G;;;;;;
1799-08-02 07:00:01;1799-09-01 07:00:00;1799-08;98.0;G;;;;;;
1799-09-01 07:00:01;1799-10-01 07:00:00;1799-09;154.0;G;;;;;;
1799-10-02 07:00:01;1799-11-01 07:00:00;1799-10;104.0;G;;;;;;
1799-11-01 07:00:01;1799-12-01 07:00:00;1799-11;55.0;G;;;;;;
1799-12-02 07:00:01;1800-01-01 07:00:00;1799-12;18.0;G;;;;;;
1800-01-02 07:00:01;1800-02-01 07:00:00;1800-01;46.0;G;;;;;;
1800-01-30 07:00:01;1800-03-01 07:00:00;1800-02;14.0;G;;;;;;
1800-03-02 07:00:01;1800-04-01 07:00:00;1800-03;18.0;G;;;;;;
1800-04-01 07:00:01;1800-05-01 07:00:00;1800-04;51.0;G;;;;;;
1800-05-02 07:00:01;1800-06-01 07:00:00;1800-05;65.0;G;;;;;;
1800-06-01 07:00:01;1800-07-01 07:00:00;1800-06;103.0;G;;;;;;
1800-07-02 07:00:01;1800-08-01 07:00:00;1800-07;123.0;G;;;;;;
1800-08-02 07:00:01;1800-09-01 07:00:00;1800-08;20.0;G;;;;;;
1800-09-01 07:00:01;1800-10-01 07:00:00;1800-09;24.0;G;;;;;;
1800-10-02 07:00:01;1800-11-01 07:00:00;1800-10;9.0;G;;;;;;
1800-11-01 07:00:01;1800-12-01 07:00:00;1800-11;164.0;G;;;;;;
1800-12-02 07:00:01;1801-01-01 07:00:00;1800-12;65.0;G;;;;;;
1801-01-02 07:00:01;1801-02-01 07:00:00;1801-01;36.0;G;;;;;;
1801-01-30 07:00:01;1801-03-01 07:00:00;1801-02;19.0;G;;;;;;
1801-03-02 07:00:01;1801-04-01 07:00:00;1801-03;65.0;G;;;;;;
1801-04-01 07:00:01;1801-05-01 07:00:00;1801-04;25.0;G;;;;;;
1801-05-02 07:00:01;1801-06-01 07:00:00;1801-05;21.0;G;;;;;;
1801-06-01 07:00:01;1801-07-01 07:00:00;1801-06;62.0;G;;;;;;
1801-07-02 07:00:01;1801-08-01 07:00:00;1801-07;53.0;G;;;;;;
1801-08-02 07:00:01;1801-09-01 07:00:00;1801-08;38.0;G;;;;;;
1801-09-01 07:00:01;1801-10-01 07:00:00;1801-09;24.0;G;;;;;;
1801-10-02 07:00:01;1801-11-01 07:00:00;1801-10;46.0;G;;;;;;
1801-11-01 07:00:01;1801-12-01 07:00:00;1801-11;85.0;G;;;;;;
1801-12-02 07:00:01;1802-01-01 07:00:00;1801-12;66.0;G;;;;;;
1802-01-02 07:00:01;1802-02-01 07:00:00;1802-01;5.0;G;;;;;;
1802-01-30 07:00:01;1802-03-01 07:00:00;1802-02;29.0;G;;;;;;
1802-03-02 07:00:01;1802-04-01 07:00:00;1802-03;9.0;G;;;;;;
1802-04-01 07:00:01;1802-05-01 07:00:00;1802-04;40.0;G;;;;;;
1802-05-02 07:00:01;1802-06-01 07:00:00;1802-05;132.0;G;;;;;;
1802-06-01 07:00:01;1802-07-01 07:00:00;1802-06;30.0;G;;;;;;
1802-07-02 07:00:01;1802-08-01 07:00:00;1802-07;77.0;G;;;;;;
1802-08-02 07:00:01;1802-09-01 07:00:00;1802-08;29.0;G;;;;;;
1802-09-01 07:00:01;1802-10-01 07:00:00;1802-09;54.0;G;;;;;;
1802-10-02 07:00:01;1802-11-01 07:00:00;1802-10;79.0;G;;;;;;
1802-11-01 07:00:01;1802-12-01 07:00:00;1802-11;60.0;G;;;;;;
1802-12-02 07:00:01;1803-01-01 07:00:00;1802-12;13.0;G;;;;;;
1803-01-02 07:00:01;1803-02-01 07:00:00;1803-01;12.0;G;;;;;;
1803-01-30 07:00:01;1803-03-01 07:00:00;1803-02;39.0;G;;;;;;
1803-03-02 07:00:01;1803-04-01 07:00:00;1803-03;15.0;G;;;;;;
1803-04-01 07:00:01;1803-05-01 07:00:00;1803-04;51.0;G;;;;;;
1803-05-02 07:00:01;1803-06-01 07:00:00;1803-05;31.0;G;;;;;;
1803-06-01 07:00:01;1803-07-01 07:00:00;1803-06;54.0;G;;;;;;
1803-07-02 07:00:01;1803-08-01 07:00:00;1803-07;89.0;G;;;;;;
1803-08-02 07:00:01;1803-09-01 07:00:00;1803-08;21.0;G;;;;;;
1803-09-01 07:00:01;1803-10-01 07:00:00;1803-09;32.0;G;;;;;;
1803-10-02 07:00:01;1803-11-01 07:00:00;1803-10;37.0;G;;;;;;
1803-11-01 07:00:01;1803-12-01 07:00:00;1803-11;63.0;G;;;;;;
1803-12-02 07:00:01;1804-01-01 07:00:00;1803-12;55.0;G;;;;;;
1804-01-02 07:00:01;1804-02-01 07:00:00;1804-01;25.0;G;;;;;;
1804-01-31 07:00:01;1804-03-01 07:00:00;1804-02;14.0;G;;;;;;
1804-03-02 07:00:01;1804-04-01 07:00:00;1804-03;10.0;G;;;;;;
1804-04-01 07:00:01;1804-05-01 07:00:00;1804-04;21.0;G;;;;;;
1804-05-02 07:00:01;1804-06-01 07:00:00;1804-05;14.0;G;;;;;;
1804-06-01 07:00:01;1804-07-01 07:00:00;1804-06;106.0;G;;;;;;
1804-07-02 07:00:01;1804-08-01 07:00:00;1804-07;106.0;G;;;;;;
1804-08-02 07:00:01;1804-09-01 07:00:00;1804-08;100.0;G;;;;;;
1804-09-01 07:00:01;1804-10-01 07:00:00;1804-09;9.0;G;;;;;;
1804-10-02 07:00:01;1804-11-01 07:00:00;1804-10;37.0;G;;;;;;
1804-11-01 07:00:01;1804-12-01 07:00:00;1804-11;32.0;G;;;;;;
1804-12-02 07:00:01;1805-01-01 07:00:00;1804-12;13.0;G;;;;;;
1805-01-02 07:00:01;1805-02-01 07:00:00;1805-01;6.0;G;;;;;;
1805-01-30 07:00:01;1805-03-01 07:00:00;1805-02;9.0;G;;;;;;
1805-03-02 07:00:01;1805-04-01 07:00:00;1805-03;13.0;G;;;;;;
1805-04-01 07:00:01;1805-05-01 07:00:00;1805-04;22.0;G;;;;;;
1805-05-02 07:00:01;1805-06-01 07:00:00;1805-05;68.0;G;;;;;;
1805-06-01 07:00:01;1805-07-01 07:00:00;1805-06;87.0;G;;;;;;
1805-07-02 07:00:01;1805-08-01 07:00:00;1805-07;71.0;G;;;;;;
1805-08-02 07:00:01;1805-09-01 07:00:00;1805-08;29.0;G;;;;;;
1805-09-01 07:00:01;1805-10-01 07:00:00;1805-09;86.0;G;;;;;;
1805-10-02 07:00:01;1805-11-01 07:00:00;1805-10;14.0;G;;;;;;
1805-11-01 07:00:01;1805-12-01 07:00:00;1805-11;2.0;G;;;;;;
1805-12-02 07:00:01;1806-01-01 07:00:00;1805-12;39.0;G;;;;;;
1806-01-02 07:00:01;1806-02-01 07:00:00;1806-01;53.0;G;;;;;;
1806-01-30 07:00:01;1806-03-01 07:00:00;1806-02;13.0;G;;;;;;
1806-03-02 07:00:01;1806-04-01 07:00:00;1806-03;23.0;G;;;;;;
1806-04-01 07:00:01;1806-05-01 07:00:00;1806-04;31.0;G;;;;;;
1806-05-02 07:00:01;1806-06-01 07:00:00;1806-05;45.0;G;;;;;;
1806-06-01 07:00:01;1806-07-01 07:00:00;1806-06;100.0;G;;;;;;
1806-07-02 07:00:01;1806-08-01 07:00:00;1806-07;51.0;G;;;;;;
1806-08-02 07:00:01;1806-09-01 07:00:00;1806-08;37.0;G;;;;;;
1806-09-01 07:00:01;1806-10-01 07:00:00;1806-09;54.0;G;;;;;;
1806-10-02 07:00:01;1806-11-01 07:00:00;1806-10;82.0;G;;;;;;
1806-11-01 07:00:01;1806-12-01 07:00:00;1806-11;106.0;G;;;;;;
1806-12-02 07:00:01;1807-01-01 07:00:00;1806-12;96.0;G;;;;;;
1807-01-02 07:00:01;1807-02-01 07:00:00;1807-01;15.0;G;;;;;;
1807-01-30 07:00:01;1807-03-01 07:00:00;1807-02;12.0;G;;;;;;
1807-03-02 07:00:01;1807-04-01 07:00:00;1807-03;3.0;G;;;;;;
1807-04-01 07:00:01;1807-05-01 07:00:00;1807-04;47.0;G;;;;;;
1807-05-02 07:00:01;1807-06-01 07:00:00;1807-05;69.0;G;;;;;;
1807-06-01 07:00:01;1807-07-01 07:00:00;1807-06;91.0;G;;;;;;
1807-07-02 07:00:01;1807-08-01 07:00:00;1807-07;30.0;G;;;;;;
1807-08-02 07:00:01;1807-09-01 07:00:00;1807-08;80.0;G;;;;;;
1807-09-01 07:00:01;1807-10-01 07:00:00;1807-09;88.0;G;;;;;;
1807-10-02 07:00:01;1807-11-01 07:00:00;1807-10;79.0;G;;;;;;
1807-11-01 07:00:01;1807-12-01 07:00:00;1807-11;72.0;G;;;;;;
1807-12-02 07:00:01;1808-01-01 07:00:00;1807-12;35.0;G;;;;;;
1808-01-02 07:00:01;1808-02-01 07:00:00;1808-01;26.0;G;;;;;;
1808-01-31 07:00:01;1808-03-01 07:00:00;1808-02;22.0;G;;;;;;
1808-03-02 07:00:01;1808-04-01 07:00:00;1808-03;2.0;G;;;;;;
1808-04-01 07:00:01;1808-05-01 07:00:00;1808-04;88.0;G;;;;;;
1808-05-02 07:00:01;1808-06-01 07:00:00;1808-05;20.0;G;;;;;;
1808-06-01 07:00:01;1808-07-01 07:00:00;1808-06;40.0;G;;;;;;
1808-07-02 07:00:01;1808-08-01 07:00:00;1808-07;34.0;G;;;;;;
1808-08-02 07:00:01;1808-09-01 07:00:00;1808-08;251.0;G;;;;;;
1808-09-01 07:00:01;1808-10-01 07:00:00;1808-09;115.0;G;;;;;;
1808-10-02 07:00:01;1808-11-01 07:00:00;1808-10;92.0;G;;;;;;
1808-11-01 07:00:01;1808-12-01 07:00:00;1808-11;12.0;G;;;;;;
1808-12-02 07:00:01;1809-01-01 07:00:00;1808-12;32.0;G;;;;;;
1809-01-02 07:00:01;1809-02-01 07:00:00;1809-01;22.0;G;;;;;;
1809-01-30 07:00:01;1809-03-01 07:00:00;1809-02;42.0;G;;;;;;
1809-03-02 07:00:01;1809-04-01 07:00:00;1809-03;4.0;G;;;;;;
1809-04-01 07:00:01;1809-05-01 07:00:00;1809-04;17.0;G;;;;;;
1809-05-02 07:00:01;1809-06-01 07:00:00;1809-05;44.0;G;;;;;;
1809-06-01 07:00:01;1809-07-01 07:00:00;1809-06;96.0;G;;;;;;
1809-07-02 07:00:01;1809-08-01 07:00:00;1809-07;43.0;G;;;;;;
1809-08-02 07:00:01;1809-09-01 07:00:00;1809-08;26.0;G;;;;;;
1809-09-01 07:00:01;1809-10-01 07:00:00;1809-09;70.0;G;;;;;;
1809-10-02 07:00:01;1809-11-01 07:00:00;1809-10;42.0;G;;;;;;
1809-11-01 07:00:01;1809-12-01 07:00:00;1809-11;28.0;G;;;;;;
1809-12-02 07:00:01;1810-01-01 07:00:00;1809-12;56.0;G;;;;;;
1810-01-02 07:00:01;1810-02-01 07:00:00;1810-01;26.0;G;;;;;;
1810-01-30 07:00:01;1810-03-01 07:00:00;1810-02;40.0;G;;;;;;
1810-03-02 07:00:01;1810-04-01 07:00:00;1810-03;15.0;G;;;;;;
1810-04-01 07:00:01;1810-05-01 07:00:00;1810-04;20.0;G;;;;;;
1810-05-02 07:00:01;1810-06-01 07:00:00;1810-05;33.0;G;;;;;;
1810-06-01 07:00:01;1810-07-01 07:00:00;1810-06;88.0;G;;;;;;
1810-07-02 07:00:01;1810-08-01 07:00:00;1810-07;77.0;G;;;;;;
1810-08-02 07:00:01;1810-09-01 07:00:00;1810-08;72.0;G;;;;;;
1810-09-01 07:00:01;1810-10-01 07:00:00;1810-09;20.0;G;;;;;;
1810-10-02 07:00:01;1810-11-01 07:00:00;1810-10;41.0;G;;;;;;
1810-11-01 07:00:01;1810-12-01 07:00:00;1810-11;49.0;G;;;;;;
1810-12-02 07:00:01;1811-01-01 07:00:00;1810-12;62.0;G;;;;;;
1811-01-02 07:00:01;1811-02-01 07:00:00;1811-01;10.0;G;;;;;;
1811-01-30 07:00:01;1811-03-01 07:00:00;1811-02;12.0;G;;;;;;
1811-03-02 07:00:01;1811-04-01 07:00:00;1811-03;12.0;G;;;;;;
1811-04-01 07:00:01;1811-05-01 07:00:00;1811-04;35.0;G;;;;;;
1811-05-02 07:00:01;1811-06-01 07:00:00;1811-05;48.0;G;;;;;;
1811-06-01 07:00:01;1811-07-01 07:00:00;1811-06;50.0;G;;;;;;
1811-07-02 07:00:01;1811-08-01 07:00:00;1811-07;66.0;G;;;;;;
1811-08-02 07:00:01;1811-09-01 07:00:00;1811-08;76.0;G;;;;;;
1811-09-01 07:00:01;1811-10-01 07:00:00;1811-09;50.0;G;;;;;;
1811-10-02 07:00:01;1811-11-01 07:00:00;1811-10;39.0;G;;;;;;
1811-11-01 07:00:01;1811-12-01 07:00:00;1811-11;35.0;G;;;;;;
1811-12-02 07:00:01;1812-01-01 07:00:00;1811-12;25.0;G;;;;;;
1812-01-02 07:00:01;1812-02-01 07:00:00;1812-01;12.0;G;;;;;;
1812-01-31 07:00:01;1812-03-01 07:00:00;1812-02;2.0;G;;;;;;
