  1   0.000 215.5
  2   0.000 233.0
  3   0.000 203.0
  4   0.000 159.5
  5   0.000 181.0
  6   0.000 229.0
  7   0.000 180.5
  8   0.000 194.5
  9   0.000 229.5
 10   0.000 217.0
 11   0.000 194.5
 12   0.000 191.5
 13   0.000 183.0
 14   0.000 206.5
 15   0.000 216.5
 16   0.000 167.5
 17   0.000 152.5
 18   0.000 247.0
 19   0.000 205.5
 20   0.000 157.5
 21   0.000 204.5
 22   0.000 186.5
 23   0.031 196.5
 24   0.076 245.5
 25   0.121 205.5
 26   0.166 223.5
 27   0.211 179.0
 28   0.256 184.5
 29   0.301 179.5
 30   0.346 195.5
 31   0.391 192.5
 32   0.436 231.0
 33   0.481 155.5
 34   0.526 171.5
 35   0.571 170.5
 36   0.600 146.5
 37   0.600 146.0
 38   0.600 147.0
 39   0.600 149.5
 40   0.600 210.5
 41   0.600 179.0
 42   0.600 188.0
 43   0.600 148.5
 44   0.600 137.5
 45   0.600 182.5
 46   0.600 120.0
 47   0.629 162.5
 48   0.674 176.5
 49   0.719 161.0
 50   0.764 161.5
 51   0.809 106.0
 52   0.854 126.0
 53   0.899 123.0
 54   0.944 108.5
 55   0.989  96.0
 56   1.034 165.0
 57   1.079 159.0
 58   1.124 108.0
 59   1.169 164.5
 60   1.200 163.5
 61   1.200 114.5
 62   1.200 102.0
 63   1.200 148.5
 64   1.200 126.0
 65   1.200 119.0
 66   1.200 100.5
 67   1.200 150.5
 68   1.200  78.0
 69   1.200 134.0
 70   1.200 121.0
 71   1.200 176.5
 72   1.200  90.5
 73   1.200 108.0
 74   1.200  59.5
 75   1.200  97.0
 76   1.200 138.5
 77   1.200  94.5
 78   1.200 106.5
 79   1.200 110.0
 80   1.200 125.5
 81   1.200  78.5
